district_name,Longitude,Latitude,river name,elevation,distance_from_river,rainfall,urban_population,land_area,density,year,month,flooding
Balaka,34.97,-15.0036,Lifidzi,1936,92.28,121.3,474026,142316,3.33,2019,december,1
Balaka,34.97,-15.0036,Lirangwe,1936,43.65,121.3,474026,142317,3.33,2019,december,1
Balaka,34.97,-15.0036,Lifidzi,1936,92.28,,474026,142316,3.33,2020,december,0
Balaka,34.97,-15.0036,Lirangwe,1936,43.65,,474026,142317,3.33,2020,december,0
Balaka,34.97,-15.0036,Lifidzi,1936,92.28,109.7,474026,142316,3.33,2021,december,1
Balaka,34.97,-15.0036,Lirangwe,1936,43.65,109.7,474026,142317,3.33,2021,december,1
Balaka,34.97,-15.0036,Lifidzi,1936,92.28,508.3,474026,142316,3.33,2022,december,1
Balaka,34.97,-15.0036,Lirangwe,1936,43.65,508.3,474026,142317,3.33,2022,december,1
Blantyre,34.99,-15.7843,Mudi,2861,16.84,124.2,840616,785339,1.07,2019,december,0
Blantyre,34.99,-15.7843,Mwanza,2861,37.14,124.2,840616,785340,1.07,2019,december,0
Blantyre,34.99,-15.7843,Nasolo,2861,,124.2,840616,785341,1.07,2019,december,0
Blantyre,34.99,-15.7843,Kholombidzo,2861,,124.2,840616,785342,1.07,2019,december,0
Blantyre,34.99,-15.7843,Lunzu,2861,21.01,124.2,840616,785343,1.07,2019,december,0
Blantyre,34.99,-15.7843,Mudi,2861,16.84,859.4,840616,785339,1.07,2020,december,0
Blantyre,34.99,-15.7843,Mwanza,2861,37.14,859.4,840616,785340,1.07,2020,december,0
Blantyre,34.99,-15.7843,Nasolo,2861,,859.4,840616,785341,1.07,2020,december,0
Blantyre,34.99,-15.7843,Kholombidzo,2861,,859.4,840616,785342,1.07,2020,december,0
Blantyre,34.99,-15.7843,Lunzu,2861,21.01,859.4,840616,785343,1.07,2020,december,0
Blantyre,34.99,-15.7843,Mudi,2861,16.84,110.1,840616,785339,1.07,2021,december,1
Blantyre,34.99,-15.7843,Mwanza,2861,37.14,110.1,840616,785340,1.07,2021,december,1
Blantyre,34.99,-15.7843,Nasolo,2861,,110.1,840616,785341,1.07,2021,december,1
Blantyre,34.99,-15.7843,Kholombidzo,2861,,110.1,840616,785342,1.07,2021,december,1
Blantyre,34.99,-15.7843,Lunzu,2861,21.01,110.1,840616,785343,1.07,2021,december,1
Blantyre,34.99,-15.7843,Mudi,2861,16.84,727,840616,785339,1.07,2022,december,1
Blantyre,34.99,-15.7843,Mwanza,2861,37.14,727,840616,785340,1.07,2022,december,1
Blantyre,34.99,-15.7843,Nasolo,2861,,727,840616,785341,1.07,2022,december,1
Blantyre,34.99,-15.7843,Kholombidzo,2861,,727,840616,785342,1.07,2022,december,1
Blantyre,34.99,-15.7843,Lunzu,2861,21.01,727,840616,785343,1.07,2022,december,1
Chikwawa,34.76,-16.0352,Shire,1109,101.86,21.6,599844,878437,0.68,2019,december,1
Chikwawa,34.76,-16.0352,Shire,1109,101.86,383.1,599844,878437,0.68,2020,december,0
Chikwawa,34.76,-16.0352,Shire,1109,101.86,62,599844,878437,0.68,2021,december,1
Chikwawa,34.76,-16.0352,Shire,1109,101.86,560,599844,878437,0.68,2022,december,1
Chiradzulu,35.27,-15.6899,Mwanje,3006,,64.4,375460,604356,0.62,2019,december,0
Chiradzulu,35.27,-15.6899,Mwanje,3006,,717.2,375460,604356,0.62,2020,december,0
Chiradzulu,35.27,-15.6899,Mwanje,3006,,91.9,375460,604356,0.62,2021,december,1
Chiradzulu,35.27,-15.6899,Mwanje,3006,,437.1,375460,604356,0.62,2022,december,1
Chitipa,33.62,-9.7012,Songwe,3881,70.83,78,246439,334176,0.74,2019,december,0
Chitipa,33.62,-9.7012,Songwe,3881,70.83,697.8,246439,334176,0.74,2020,december,0
Chitipa,33.62,-9.7012,Songwe,3881,70.83,,246439,334176,0.74,2021,december,0
Chitipa,33.62,-9.7012,Songwe,3881,70.83,,246439,334176,0.74,2022,december,1
Dedza,34.05,-14.3838,Linthipe,3192,,99.9,884146,754625,1.17,2019,december,0
Dedza,34.05,-14.3838,Linthipe,3192,,602.5,884146,754625,1.17,2020,december,0
Dedza,34.05,-14.3838,Linthipe,3192,,20.8,884146,754625,1.17,2021,december,0
Dedza,34.05,-14.3838,Linthipe,3192,,437.1,884146,754625,1.17,2022,december,1
Dowa,33.77,-13.6744,Lilongwe,3980,37.63,47.3,830543,77559,10.71,2019,december,0
Dowa,33.77,-13.6744,Lingadzi,3980,28.82,47.3,830543,77559,10.71,2019,december,0
Dowa,33.77,-13.6744,Lilongwe,3980,37.63,553.6,830543,77559,10.71,2020,december,0
Dowa,33.77,-13.6744,Lingadzi,3980,28.82,553.6,830543,77559,10.71,2020,december,0
Dowa,33.77,-13.6744,Lilongwe,3980,37.63,28.4,830543,77559,10.71,2021,december,0
Dowa,33.77,-13.6744,Lingadzi,3980,28.82,28.4,830543,77559,10.71,2021,december,0
Dowa,33.77,-13.6744,Lilongwe,3980,37.63,,830543,77559,10.71,2022,december,1
Dowa,33.77,-13.6744,Lingadzi,3980,28.82,,830543,77559,10.71,2022,december,1
Karonga,33.9,-9.9546,Rukuru,3291,,95.5,386717,416264,0.93,2019,december,1
Karonga,33.9,-9.9546,Songwe,3291,19.39,95.5,386717,416264,0.93,2019,december,1
Karonga,33.9,-9.9546,Rukuru,3291,,242.6,386717,416264,0.93,2020,december,0
Karonga,33.9,-9.9546,Songwe,3291,19.39,242.6,386717,416264,0.93,2020,december,0
Karonga,33.9,-9.9546,Rukuru,3291,,74.9,386717,416264,0.93,2021,december,0
Karonga,33.9,-9.9546,Songwe,3291,19.39,74.9,386717,416264,0.93,2021,december,0
Karonga,33.9,-9.9546,Rukuru,3291,,323.5,386717,416264,0.93,2022,december,1
Karonga,33.9,-9.9546,Songwe,3291,19.39,323.5,386717,416264,0.93,2022,december,1
Kasungu,33.47,-13.0363,Luwerezi,3458,,53.1,901545,416264,2.17,2019,december,0
Kasungu,33.47,-13.0363,Lingadzi,3458,69.43,53.1,901545,17623,51.16,2019,december,0
Kasungu,33.47,-13.0363,Sani,3458,,53.1,901545,17623,51.16,2019,december,0
Kasungu,33.47,-13.0363,Luwerezi,3458,,508,901545,416264,2.17,2020,december,0
Kasungu,33.47,-13.0363,Lingadzi,3458,69.43,508,901545,17623,51.16,2020,december,0
Kasungu,33.47,-13.0363,Sani,3458,,508,901545,17623,51.16,2020,december,0
Kasungu,33.47,-13.0363,Luwerezi,3458,,0.1,901545,416264,2.17,2021,december,0
Kasungu,33.47,-13.0363,Lingadzi,3458,69.43,0.1,901545,17623,51.16,2021,december,0
Kasungu,33.47,-13.0363,Sani,3458,,0.1,901545,17623,51.16,2021,december,0
Kasungu,33.47,-13.0363,Luwerezi,3458,,298.3,901545,416264,2.17,2022,december,1
Kasungu,33.47,-13.0363,Lingadzi,3458,69.43,298.3,901545,17623,51.16,2022,december,1
Kasungu,33.47,-13.0363,Sani,3458,,298.3,901545,17623,51.16,2022,december,1
Likoma,34.74,-12.0531,Likoma,1698,0.64,,15316,71414,0.21,2019,december,0
Likoma,34.74,-12.0531,Likoma,1698,0.64,,15316,71414,0.21,2020,december,0
Likoma,34.74,-12.0531,Likoma,1698,0.64,,15316,71414,0.21,2021,december,0
Likoma,34.74,-12.0531,Likoma,1698,0.64,,15316,71414,0.21,2022,december,1
Lilongwe,34.74,-12.0531,Lilongwe,3619,55.76,139.5,1081720,532989,2.03,2019,december,0
Lilongwe,34.74,-12.0531,Lilongwe,3619,55.76,509.6,1081720,532989,2.03,2020,december,1
Lilongwe,34.74,-12.0531,Lilongwe,3619,55.76,20.8,1081720,532989,2.03,2021,december,1
Lilongwe,34.74,-12.0531,Lilongwe,3619,55.76,423,1081720,532989,2.03,2022,december,1
Machinga,33.77,-13.9899,Domasi,2159,25.48,45.4,809245,582494,1.39,2019,december,1
Machinga,35.53,-15.0925,Shire,2159,37.39,45.4,809245,582494,1.39,2019,december,1
Machinga,33.77,-13.9899,Domasi,2159,25.48,459.8,809245,582494,1.39,2020,december,0
Machinga,35.53,-15.0925,Shire,2159,37.39,459.8,809245,582494,1.39,2020,december,0
Machinga,33.77,-13.9899,Domasi,2159,25.48,31.1,809245,582494,1.39,2021,december,1
Machinga,35.53,-15.0925,Shire,2159,37.39,31.1,809245,582494,1.39,2021,december,0
Machinga,33.77,-13.9899,Domasi,2159,25.48,445.1,809245,582494,1.39,2022,december,1
Machinga,35.53,-15.0925,Shire,2159,37.39,445.1,809245,582494,1.39,2022,december,1
Mangochi,35.53,-15.0925,Shire,2385,78.53,106.8,1254609,729796,1.72,2019,december,1
Mangochi,35.53,-15.0925,Shire,2385,78.53,532.8,1254609,729796,1.72,2020,december,0
Mangochi,35.53,-15.0925,Shire,2385,78.53,6.3,1254609,729796,1.72,2021,december,1
Mangochi,35.53,-15.0925,Shire,2385,78.53,263.8,1254609,729796,1.72,2022,december,1
Mchinji,35.24,-14.4759,Molere,3576,,88.8,640950,131454,4.88,2019,december,1
Mchinji,35.24,-14.4759,Molere,3576,,554.7,640950,131454,4.88,2020,december,1
Mchinji,35.24,-14.4759,Molere,3576,,40.2,640950,131454,4.88,2021,december,0
Mchinji,35.24,-14.4759,Molere,3576,,910.4,640950,131454,4.88,2022,december,1
Mulanje,33.92,-13.7907,Thuchila,2520,32.95,141.3,728962,5523,131.99,2019,december,0
Mulanje,33.92,-13.7907,Namadzi,2520,15.37,141.3,728962,5523,131.99,2019,december,0
Mulanje,33.92,-13.7907,Ruo,2520,11.14,141.3,728962,5523,131.99,2019,december,0
Mulanje,33.92,-13.7907,Thuchila,2520,32.95,968.3,728962,5523,131.99,2020,december,0
Mulanje,33.92,-13.7907,Namadzi,2520,15.37,968.3,728962,5523,131.99,2020,december,0
Mulanje,33.92,-13.7907,Ruo,2520,11.14,968.3,728962,5523,131.99,2020,december,0
Mulanje,33.92,-13.7907,Thuchila,2520,32.95,218,728962,5523,131.99,2021,december,1
Mulanje,33.92,-13.7907,Namadzi,2520,15.37,218,728962,5523,131.99,2021,december,1
